Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
aching in shoulders,Aching in shoulders,shoulders ache,"['pain in shoulders' 'pain in shoulders' 'Pain in the shoulders'
 'aching pain across my shoulders' 'shoulders ache']",Semantic confusion
extreme pain in my should and arm,extreme pain in my should and arm,severe pain in arm,"['pain in upper right arm' 'extreme muscle pain in arms' 'pain in arm'
 'pain in my arm' 'severe pain in arm']",Semantic confusion
pain in feet,Pain in feet,pain in feet,['pain in foot' 'feet pains' 'feet pains' 'pain in feet' 'pain in feet'],Semantic confusion
feet is painful,feet is painful,pain in feet,['feet hurt' 'feet hurt' 'Very Painful feet' 'pain in feet' 'pain in feet'],Semantic confusion
decreased libdo,decreased libdo,decreased libido,"['decrease in balance' 'decreased testosterone' 'Decreased energy'
 'decreased libido' 'decreased libido']",Semantic confusion
weight gain,WEIGHT GAIN,weight gain,['weight gain' 'weight gain' 'weight gain' 'Weight gain' 'weight gain'],Semantic confusion
muscles pains,muscles pains,muscle pains,"['muscle pains' 'muscle pains' 'muscle pains' 'muscle pains'
 'muscle pains']",Semantic confusion
muscle pain in my biceps,muscle pain in my biceps,muscle pain,['muscle pain' 'muscle pain' 'muscle pain' 'Muscle Pain' 'muscle pain'],Semantic confusion
unable to get out of bed,Unable to get out of bed,unable to get out of bed,"[""couldn't get out of bed"" 'difficult for me to get out of bed'
 ""can't get out of bed in the morning"" ""can't get out of bed""
 'unable to get out of bed']",Semantic confusion
extreme pain in legs,extreme pain in legs,severe pain in legs,"['pain in legs' 'pain in legs' 'extreme leg pain' 'severe pain in legs'
 'severe pain in legs']",Semantic confusion
uneasiness,uneasiness,queasiness,['disorientation' 'disorientation' 'diziness' 'diziness' 'queasiness'],Semantic confusion
muscle in my angles hurt,muscle in my angles hurt,joints in my angles hurt,"['muscle pain' 'muscle pain' 'muscle pain' 'muscle pain'
 'joints in my angles hurt']",Semantic confusion
soreness in upper back,soreness in upper back,back soreness,"['muscle aches in my lower back' 'sore back'
 'Slight muscle aches in my back' 'Muscle Pain in upper back'
 'back soreness']",Semantic confusion
first vaginal bleeding,first vaginal bleeding,vaginal bleeding,"['vaginal bleeding' 'vaginal bleeding' 'vaginal bleeding'
 'vaginal bleeding' 'vaginal bleeding']",Semantic confusion
tiredeness,tiredeness,tiredness,['tiredness' 'tiredness' 'Tiredness' 'tiredness' 'tiredness'],Semantic confusion
gut wrenching pain,gut wrenching pain,intestinal pain,"['stomach pain' 'stomach pain'
 'sharp unbearable cramping pains in lower gut'
 'gut-renching abdominal pain' 'intestinal pain']",Semantic confusion
chest pain,Chest pain,chest pain,['chest pain' 'chest pain' 'chest pain' 'chest pain' 'chest pain'],Semantic confusion
deeper muscle twitches on thighs,Deeper muscle twitches on thighs,twitching in thighs,"['spasms in upper thighs' 'muscle twitches' 'Muscle twitches'
 'Deeper muscle twitches on arms sides' 'twitching in thighs']",Semantic confusion
extreme dehydration,extreme dehydration,dehydration,"['Extreme tiredness' 'extreme bloating' 'EXTREME EXHAUSTION'
 'extreme sweating' 'dehydration']",Semantic confusion
heart attacks,heart attacks,heart attack,"['feeling like I am having a heart attack' 'damage your heart'
 'intense heart pain' 'heart damage' 'heart attack']",Semantic confusion
throat pain,throat pain,hurts throat,"['swelling in throat' 'throat tightness' 'swelling of throat'
 'sore throat' 'hurts throat']",Semantic confusion
numbness and tingling in my hands,numbness and tingling in my hands,numbness in my hands,"['tingling hands' 'tingling in the hands' 'Severe numbness in hand'
 'tingling in hands' 'numbness in my hands']",Semantic confusion
muscle knots up,muscle knots up,knotting muscles,"['Muscle Stiffness' 'muscle stiffness' 'muscle stiffness'
 'muscle stiffness' 'knotting muscles']",Semantic confusion
feet pain,feet pain,pain in feet,['foot pain' 'feet pains' 'feet pains' 'pain in feet' 'pain in feet'],Semantic confusion
pain in shoulder joint,pain in shoulder joint,Joint pain in shoulder,"['pain in shoulder' 'pain in shoulder' 'Pain in shoulder'
 'pain in shoulder' 'Joint pain in shoulder']",Semantic confusion
extrem pain in knee joints,extrem pain in knee joints,Joint pain in the knees,"['severe knee pain' 'Severe knee pain' 'pain in knee' 'Pain in knees'
 'Joint pain in the knees']",Semantic confusion
cannot walk,cannot walk,Unable to walk,"['unable to walk' 'Unable to walk' 'unable to walk' 'unable to walk'
 'unable to walk']",Semantic confusion
burning feet,Burning feet,burning feet,"['burning feet in toe area' 'burning in the soles of my feet'
 'burning feet' 'burning feet' 'Burning feet']",Lexical variation
black outs,black outs,blackouts,['blisters' 'blisters' 'ZONED OUT' 'stool was black' 'blackouts'],Semantic confusion
weakness in upper arm muscles,weakness in upper arm muscles,muscle weakness,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'Muscle weakness'
 'muscle weakness']",Semantic confusion
intense pelvic pain,intense pelvic pain,lower pelvic pain,"['severe pains' 'extreme uterine cramping' 'uterus pain and cramping'
 'deep pain in my pelvis and down my legs' 'lower pelvic pain']",Semantic confusion
pain when i sit down or stand from a sitting position,pain when I sit down or stand from a sitting position,Unable to sit,"['pain in legs' 'discomfort in my legs' 'pain in the knees and feet'
 'Pain in lower legs' 'Unable to sit']",Semantic confusion
cannot sleep through the night,cannot sleep through the night,can not sleep,"[""couldn't sleep at night"" ""can't even sleep at night"" 'cant sleep'
 ""can't sleep"" 'can not sleep']",Semantic confusion
gastroent,gastro/ent,gassy,['gas' 'Gas' 'gastro problem' 'gassy' 'gassy'],Semantic confusion
muscle function irregularities,muscle function irregularities,muscle issues,"['muscle problems' 'muscle problems' 'muscle problems' 'muscle problems'
 'muscle issues']",Semantic confusion
constipation,constipation,Constipation,"['Constipation' 'constipation' 'Constipation' 'constipation'
 'constipation']",Lexical variation
stiffness in hips,stiffness in hips,aches and stiffness hips,"['stiffness in legs' 'Stiffness in legs' 'body stiffness'
 'sore and stiff hips' 'aches and stiffness hips']",Semantic confusion
joints that bark at me,joints that bark at me,aching joints,"['painful joints' 'tender joints' 'joints aching' 'aching joints'
 'aching joints']",Semantic confusion
my feet feel like i have stone bruises just in front of the heel,My feet feel like I have stone bruises just in front of the heel,pain in feet,"['severe pain in my feet' 'feet pains' 'feet pains' 'pain in feet'
 'pain in feet']",Semantic confusion
raised blood pressure,raised blood pressure,INCREASED BLOOD PRESSURE,"['HIGH BLOOD PRESSURE' 'high blood pressure' 'Elevated blood pressure'
 'Increase in blood pressure' 'INCREASED BLOOD PRESSURE']",Semantic confusion
finger pins and needles,finger pins and needles,PINS AND NEEDLES,"['pins and needles on right arm' 'Constant pins and needles in the toes'
 'pins and needles feeling' 'Pins and needles' 'PINS AND NEEDLES']",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
vivid weird dreams,vivid weird dreams,weird dreams,"['bad dreams' 'bad dreams nightly' 'vivid nightmares' 'Abnormal Dreams'
 'weird dreams']",Semantic confusion
pain in elbows,Pain in elbows,Joint pain in elbows,"['elbow pain' 'Pain in elbow' 'Joint pain (elbows!)' 'Pain in both elbows'
 'Joint pain in elbows']",Semantic confusion
blurred vision,Blurred vision,blurred vision,"['blurred vision' 'blurred vision' 'blurred vision' 'blurred vision'
 'Blurred vision']",Lexical variation
constipation,constipation,Constipation,"['Constipation' 'constipation' 'Constipation' 'constipation'
 'constipation']",Lexical variation
thinning at the back and sides of my head,thinning at the back and sides of my head,Hair thinning,"['hair is getting very thin' 'thining hair' 'hair thinning'
 'Hair thinning' 'hair thinning']",Semantic confusion
excessive mestrual bleeding,excessive mestrual bleeding,heavy menstrual bleeding,"['extended bleeding during menstruation' 'bleeding constantly'
 'menstruating with heavy bleeding every 11 days'
 'heavy menstrual bleeding' 'heavy menstrual bleeding']",Semantic confusion
pain in my buttocks,pain in my buttocks,buttocks cramps,"['pain in my legs' 'pain in my legs' 'pain in the knees and feet'
 'PAIN IN MY KNEES' 'buttocks cramps']",Semantic confusion
pains hips,pains hips,pains in hips,['hips hurt' 'pain in hips' 'pain in hips' 'hips pain' 'pains in hips'],Semantic confusion
tiredness in leg,tiredness in leg,Legs feel tired,"['tiredness' 'muscle weariness in legs' 'fatigue in legs'
 'legs began feeling very tired' 'Legs feel tired']",Semantic confusion
diarhea,Diarhea,diarhea,['diarrea' 'diarea' 'diarhhea' 'diarhea' 'Diarhea'],Lexical variation
my toes ached,my toes ached,aching in toes,"['toes hurt' 'toes hurt' 'toes hurt' 'Toes became so painful'
 'aching in toes']",Semantic confusion
flushing,flushing,body flushes,"['congestion with clear phlem' 'bathroom with the runs' 'drained'
 'complete body flushes (like a hot flash without the hot)' 'body flushes']",Semantic confusion
severe muscle pain  especially in lower calfs of both legs,SEVERE muscle pain - especially in lower calfs of both legs,Severe pain in both calfs,"['pain in both calves and thighs' 'Severe pain in my calf muscles'
 'Severe muscle pain in calves' 'extreme leg pain in the calves'
 'Severe pain in both calfs']",Semantic confusion
pain in major joints,pain in major joints,Pain in joints,"['painful joints' 'pain in my joints' 'pain in joints' 'Pain in joints'
 'pain in joints']",Semantic confusion
twitch,twitch,twitching,['twitching mouth' 'twitching' 'twitching' 'twitching' 'twitching'],Semantic confusion
disabled,disabled,permanently and totally disabled,"['debilitated' 'unmotivated' 'INABILITY TO FUNCTION' 'CRIPPLED'
 'permanently and totally disabled']",Semantic confusion
mental malaise,mental malaise,malaise,['GENERAL MALAISE' 'malaise' 'malaise' 'Malaise' 'malaise'],Semantic confusion
increased fatigue,increased fatigue,"fatigue, increased","['extreme fatigue' 'extreme fatigue' 'Constant fatigue'
 'increase in level of fatigue' 'fatigue, increased']",Semantic confusion
back pain,back pain,Back pain,['back pain' 'back pain' 'back pain' 'back pain' 'back pain'],Lexical variation
strained muscles,strained muscles,muscle strain,"['Sore muscle' 'muscle injury' 'muscle injury' 'weakened muscle'
 'muscle strain']",Semantic confusion
hands are tingling,hands are tingling,tingling in hands,"['hands tingling' 'tingling hands' 'tingling hands' 'tingling hands'
 'tingling in hands']",Semantic confusion
pain in my thighs,pain in my thighs,severe pain in my thighs,"['muscle pain in thighs' 'thigh pain' 'THIGH PAIN'
 'thighs muscle pain in the' 'severe pain in my thighs']",Semantic confusion
palpatations,Palpatations,palpatations,"['palpitations' 'palpitations' 'heart palpatations' 'heart palpatations'
 'palpatations']",Semantic confusion
passing blood and clots with stoals,passing blood and clots with stoals,blood clots,"['blood clots in urine' 'blood clots that traveled to my eye' 'clotting'
 'blood clots' 'blood clots']",Semantic confusion
hardest on legs,hardest on legs,in legs weakness,['weak legs' 'weak legs' 'weak legs' 'Weak legs' 'in legs weakness'],Semantic confusion
mmdepression,MMDepression,MS,['depresion' 'leathargy' 'deppression' 'wincing' 'MS'],Semantic confusion
upset my stomach,upset my stomach,Upset stomach,"['seriously upset my stomach' 'Upset stomach' 'upset stomach'
 'upset stomach' 'Upset stomach']",Semantic confusion
horrific cramps,horrific cramps,very severe cramps,['cramps' 'CRAMPS' 'bad cramps' 'severe cramps' 'very severe cramps'],Semantic confusion
server pain,server pain,servere pain,['pain' 'pain' 'pain' 'pain' 'servere pain'],Semantic confusion
pain in my arm and shoulder,pain in my arm and shoulder,pain in my shoulder,"['pain in shoulder' 'Pain in shoulder' 'pain in shoulder'
 'pain in shoulder' 'pain in my shoulder']",Semantic confusion
gum infections,gum infections,gum trouble,['toothache' 'toothache' 'gum ulcerations' 'infections' 'gum trouble'],Semantic confusion
elbows stiff,elbows stiff,Arm stiffness,"['knees stiff' 'joint stiffness' 'joint stiffness' 'Joint Stiffness'
 'Arm stiffness']",Semantic confusion
right upper quadrant abdominal pain,right upper quadrant abdominal pain,discomfort in right side upper and lower of stomach area,"['abdominal pain' 'Abdominal pain' 'abdominal pain'
 'upper abdominal discomfort'
 'discomfort in right side upper and lower of stomach area']",Semantic confusion
leg muscle and thigh problems,leg muscle and thigh problems,muscle problems legs,"['leg muscle discomfort' 'muscle pain in thighs'
 'thighs muscle pain in the'
 'severe thigh muscle pain (both legs involved)' 'muscle problems legs']",Semantic confusion
drive is knocked down,drive is knocked down,loss of drive,"['collapse' 'falling over' 'feel like I got hit by a truck'
 'fell asleep while driving' 'loss of drive']",Semantic confusion
massive triangular rash on my forehead,massive triangular rash on my forehead,skin rash,"['strange poisen-ivy like rash on chest and breast' 'rash on my wrist'
 'rash on upper left torso' 'skin rash back of my neck' 'skin rash']",Semantic confusion
headache,headache,Headache,['headache' 'headache' 'headache' 'headache' 'Headache'],Lexical variation
rashes,rashes,Rashes,['rash' 'rash' 'Rashes' 'Rashes' 'rashes'],Lexical variation
severe depression,severe depression,Severe depression,"['severe depression' 'severe depression' 'severe depression'
 'severe depression' 'Severe depression']",Lexical variation
not sure footed as i walked,not sure footed as I walked,could not walk 75 feet,"['unable to walk' 'unable to walk' 'walked like a 90 year old'
 'foot turned at right angle' 'could not walk 75 feet']",Semantic confusion
severe back pains,Severe back pains,Severe back pain,"['severe pain in back' 'Severe back pain' 'Severe back pain'
 'Severe back pain' 'Severe back pain']",Semantic confusion
abdominal cramping,abdominal cramping,SEVERE abdominal cramping,"['stomach cramping' 'stomach cramping' 'stomach cramping'
 'SEVERE abdominal cramping' 'Severe abdominal cramping']",Semantic confusion
muscle aches,Muscle aches,muscle aches,"['muscle aches' 'muscle aches' 'muscle aches' 'muscle aches'
 'muscle aches']",Semantic confusion
muscle weakness,Muscle weakness,muscle weakness,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'Muscle weakness'
 'muscle weakness']",Lexical variation
aches and pain in both shoulders,aches and pain in both shoulders,extreme pain in both shoulders,"['pain in shoulders' 'pain in shoulders' 'pain in shoulders'
 'horrible pain in both shoulders' 'extreme pain in both shoulders']",Semantic confusion
discomfort in my left hand,discomfort in my left hand,right hand has been hurting,"['pain in hands' 'Pain in hands' 'Severe (burning) pain in left hand'
 'hand pain' 'right hand has been hurting']",Semantic confusion
psychosis,Psychosis,psychiatric,"['depression' 'Depressions' 'Mentally in a daze' 'hallucinations'
 'psychiatric']",Semantic confusion
muscle inflamation,muscle inflamation,leg muscle inflamed,"['muscle damage' 'weakened muscle' 'muscle injury' 'muscle injury'
 'leg muscle inflamed']",Semantic confusion
joint pain,JOINT PAIN,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Semantic confusion
muscle aches,Muscle aches,muscle aches,"['muscle aches' 'muscle aches' 'muscle aches' 'muscle aches'
 'muscle aches']",Semantic confusion
felt like removing my intestines,felt like removing my intestines,intestinal pain,"['feeling like my stomach is full and empty at the same time'
 'empty stomach feeling' '""empty stomach"" feeling'
 'intestinal/stomach pain' 'intestinal pain']",Semantic confusion
joints poping and cracking,joints poping and cracking,cracking sensations in my joints,"['joints aching' 'stiff joints' 'stiff joints' 'joints hurt'
 'cracking sensations in my joints']",Semantic confusion
aching pain in my arms,aching pain in my arms,pain in my arms,"['pain in my arms' 'pain in my arms' 'pain in my arms' 'pain in my arms'
 'pain in my arms']",Semantic confusion
severe leg pains,SEVERE leg pains,severe leg pains,['leg pains' 'leg pains' 'Leg pains' 'Severe leg pain' 'severe leg pains'],Semantic confusion
dizziness,dizziness,Dizziness,['dizziness' 'Dizziness' 'dizziness' 'Dizziness' 'dizziness'],Lexical variation
more problems with my sinuses,More problems with my sinuses,sinus problems,"['sinus congestion' 'sinus problems' 'sinus problems' 'sinus problems'
 'sinus problems']",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
mind was starting to deteriorate,mind was starting to deteriorate,feeling like my mind is fading away,"['thinking problems' 'frequently unable to think clearly'
 'Absent mindendness,' 'Difficulty thinking'
 'feeling like my mind is fading away']",Semantic confusion
movement is restricted and it is impossible to make a fist,movement is restricted and it is impossible to make a fist,can't make a fist,"['hands, have little or no grip'
 'severe limitation in movement in upper arm muscles'
 'restricted movement' 'movement is restricted' ""can't make a fist""]",Semantic confusion
ached all over especially in legs,"ached all over, especially in legs",legs just ached,"['heavy aching legs' 'Aching in legs' 'legs ached' 'legs ached'
 'legs just ached']",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
pain,Pain,pain,['Pain' 'pain' 'pain' 'pain' 'pain'],Lexical variation
anxiety,Anxiety,anxiety,['anxiety' 'anxiety' 'Anxiety' 'anxiety' 'anxiety'],Lexical variation
aches in calf muscles,Aches in calf muscles,muscle aches in calves,"['soreness in calf muscles' 'Severe pain in my calf muscles'
 'pain in calf muscle' 'Very painful muscle aches in calves'
 'muscle aches in calves']",Semantic confusion
neck ache,neck ache,neck pain,['Neck pain' 'neck pain' 'neck pain' 'neck pain' 'neck pain'],Semantic confusion
clotting and horrible periods,"clotting, and horrible periods",heavy menstral bleeding with clots even though i had just finished my cycle a week before,"['heavy menstrual bleeding' 'heavy menstrual bleeding' 'clotting'
 'Bleeding problems'
 'heavy menstral bleeding with clots even though i had just finished my cycle a week before']",Semantic confusion
flatulance,flatulance,Flatulance,"['Flatulence' 'flatulence' 'mild flatuelence' 'mild flatulance'
 'Flatulance']",Semantic confusion
muscle fatigue,Muscle fatigue,Muscle Fatigue,"['extreme muscle fatigue' 'Extreme muscle fatigue' 'Muscle Fatigue'
 'muscle fatigue' 'Muscle Fatigue']",Semantic confusion
muscle pain,Muscle pain,muscle pain,['muscle pain' 'muscle pain' 'muscle pain' 'muscle pain' 'Muscle pain'],Lexical variation
minor joint soreness,Minor joint soreness,sore joints,"['severe joint pains' 'Very sore and achy joints' 'sore joints'
 'Sore joints' 'sore joints']",Semantic confusion
weakness in muscles,weakness in muscles,muscle weakness,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'muscle weakness'
 'Muscle weakness']",Semantic confusion
muscle soreness,muscle soreness,MUSCLE SORENESS,"['overall muscle soreness' 'soreness in muscles' 'muscle soreness'
 'muscle soreness' 'MUSCLE SORENESS']",Lexical variation
inablity to walk,inablity to walk,difficulty to walk,"['hard time walking' 'Difficult to walk' 'dificultly in walking'
 'unsteasiness walking' 'difficulty to walk']",Semantic confusion
dry joints,dry joints,tender joints,"['aching joints' 'aching joints' 'stiff joints' 'stiff joints'
 'tender joints']",Semantic confusion
limits my ability climb stairs,limits my ability climb stairs,unable to climb stairs,"['difficulty walking up stairs' ""couldn't go up stairs easily""
 ""Can't walk up stairs"" 'Unable to even climb 1 flight of stairs'
 'unable to climb stairs']",Semantic confusion
charley horses in feet,Charley horses in feet,charley horses in feet,"['Charley horses in the abdomen' 'charley horses in sides'
 'charley horses' 'charley horses in feet' 'charley horses in feet']",Semantic confusion
sudden onset of pain,sudden onset of pain,intermittent pain,"['constant pain' 'pain throughout my body' 'extreme constant pain'
 'severe pains' 'intermittent pain']",Semantic confusion
severe calf pain,severe calf pain,intense calf pain,['calf pain' 'Calf Pain' 'calf pain' 'CALF PAIN' 'intense calf pain'],Semantic confusion
pain in my hip,pain in my hip,Pain in hip,['hip pain' 'hip pain' 'hip pain' 'pain in hip' 'Pain in hip'],Semantic confusion
wrist joints sore,wrist joints sore,arm joints sore,['wrist pain' 'wrist pain' 'wrist pain' 'wrist pain' 'arm joints sore'],Semantic confusion
pain unbearable,pain unbearable,severe pain,['severe pain' 'severe pain' 'severe pain' 'Severe pain' 'severe pain'],Semantic confusion
eye problems,eye problems,Eye problem,"['severe vision problems' 'eye pain' 'eyesight problems' 'eye trouble'
 'Eye problem']",Semantic confusion
difficult to concentrate,difficult to concentrate,inability to concentrate,"['lack of ability to concentrate' 'unable to concentrate'
 'not being able to concentrate' 'inability to concentrate'
 'inability to concentrate']",Semantic confusion
sleepy all or most sf the time,sleepy all or most sf the time,sleepy,"['tired all the time' 'tired all the time' 'tired all the time' 'sleepy'
 'sleepy']",Semantic confusion
persistent fatigue,persistent fatigue,Constant fatigue,"['extreme fatigue' 'extreme fatigue' 'extreme fatigue' 'extreme fatigue'
 'Constant fatigue']",Semantic confusion
hardly able to lift things,hardly able to lift things,limits my ability lift anything,"['unable to lift my legs' ""couldn't lift my arms or legs""
 'could not lift arm' 'could hardly lift a glass'
 'limits my ability lift anything']",Semantic confusion
muscles of whole body dilution in size,muscles of whole body dilution in size,over-streesed muscles,"['muscle problem' 'muscles have diminished' 'muscles very tight'
 ""muscles are like boards they're so tight"" 'over-streesed muscles']",Semantic confusion
symptoms of parkisons disease,symptoms of Parkison's disease,symptoms of parkinson's disease,"['flu-like symptoms' 'flu-like symptoms'
 'arthritis like symptoms in hands'
 'weird symptoms (eg. popping) in big toe joints'
 ""symptoms of parkinson's disease""]",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
can barely make it up one flight of stairs,can barely make it up one flight of stairs,Unable to even climb 1 flight of stairs,"['could not walk up the stairs' 'difficulty walking up stairs'
 ""Can't walk up stairs"" ""couldn't go up stairs easily""
 'Unable to even climb 1 flight of stairs']",Semantic confusion
upset stomach,upset stomach,Upset stomach,"['stomach upset' 'upset stomach' 'Upset stomach' 'Upset stomach'
 'upset stomach']",Lexical variation
calves muscle pain in,calves muscle pain in,Severe muscle pain in calves,"['Very painful muscle aches in calves' 'Severe pain in my calf muscles'
 'severe pain in calves' 'pain in calf muscle'
 'Severe muscle pain in calves']",Semantic confusion
unable to stand,unable to stand,trouble standing for longer periods of time,"['not being able to walk' 'could barely stand and walk'
 'dificult to stand or walk for too long' 'Unable to sit'
 'trouble standing for longer periods of time']",Semantic confusion
ankles started aching,ankles started aching,ankles ache so bad,"['pain in ankles' 'sore ankles' 'sore ankles' 'sore ankles'
 'ankles ache so bad']",Semantic confusion
spinning head,spinning head,dizzy,['dizzy' 'dizzy' 'dizzy' 'dizzy' 'dizzy'],Semantic confusion
aches in hands,aches in hands,pains in hands,"['Pain in my hands' 'very bad pains in hands' 'Pain in hands'
 'pain in hands' 'pains in hands']",Semantic confusion
heart attack symptoms,heart attack symptoms,feeling like I am having a heart attack,"['Chest muscle pains' 'intense chest pains' 'intense heart pain'
 'heart attack' 'feeling like I am having a heart attack']",Semantic confusion
tremor,tremor,Tremor,['tremor' 'Tremor' 'tremor' 'tremor' 'tremor'],Lexical variation
hand tremors,hand tremors,tremors,['tremor' 'Tremor' 'tremor' 'tremor' 'tremors'],Semantic confusion
neck pain,NECK PAIN,neck pain,['neck pain' 'neck pain' 'Neck pain' 'neck pain' 'neck pain'],Semantic confusion
tummy pains,tummy pains,stomach pains,"['stomach pains' 'Stomach pains' 'stomach pains' 'Stomach pains'
 'stomach pains']",Semantic confusion
severe pain in the muscles in the shoulder area,severe pain in the muscles in the shoulder area,muscle pain in the shoulder,"['severe shoulder pain' 'Severe muscle pain in shoulders'
 'severe pain in shoulder' 'Shoulder muscle pain'
 'muscle pain in the shoulder']",Semantic confusion
urination effected,urination effected,no control over urination,"[""couldn't urinate"" 'urinary incontinence' 'urge to urinate constantly'
 'Difficulty urinating' 'no control over urination']",Semantic confusion
difficulty in walking,DIFFICULTY IN WALKING,difficulty walking,"['Difficult to walk' 'trouble walking' 'difficulty to walk'
 'difficulty walking' 'difficulty walking']",Semantic confusion
severe joint pain in the knees,Severe joint pain in the knees,Joint pain in the knees,"['severe joint pains' 'Pain in knees' 'severe pain in my knees'
 'joint pain (knees)' 'Joint pain in the knees']",Semantic confusion
could not walk,COULD NOT WALK,could not walk,"[""couldn't walk"" 'could not walk' 'could not walk' 'could not walk'
 'could not walk']",Semantic confusion
calves muscle pain in the,calves muscle pain in the,Severe muscle pain in calves,"['Very painful muscle aches in calves' 'Severe pain in my calf muscles'
 'severe pain in calves' 'pain in calf muscle'
 'Severe muscle pain in calves']",Semantic confusion
short term memory dysfunction,short term memory dysfunction,Short term memory affected,"['short term memory loss' 'short term memory loss'
 'short term memory loss' 'short term memory loss'
 'Short term memory affected']",Semantic confusion
wild dreams,wild dreams,weird dreams,"['nightmares' 'bad dreams nightly' 'bad dreams' 'bad dreams'
 'weird dreams']",Semantic confusion
some sort of gi problems,some sort of G.I. problems,GI difficulties,"['memeory problems' 'GI hemmorage' 'GI bleed' 'GI distress'
 'GI difficulties']",Semantic confusion
severe diarrhea,SEVERE diarrhea,massive diarrhea,['diarrhea' 'diarrhea' 'diarrhea' 'Diarrhea' 'massive diarrhea'],Semantic confusion
stiffness in whole body,stiffness in whole body,body stiffness,"['Muscle Stiffness' 'muscle stiffness' 'Stiffness of limbs'
 'general body stiffness' 'body stiffness']",Semantic confusion
lost all strength,lost all strength,losing strength,"['loss of strength' 'loss of strength' 'loss of strength'
 'Lost muscular strength' 'losing strength']",Semantic confusion
breathing difficulties,breathing difficulties,difficulty breathing,"['difficulty/shallow breathing' 'difficulty breathing'
 'difficulty breathing' 'difficulty breathing' 'difficulty breathing']",Semantic confusion
left shoulder is terribly painful,left shoulder is terribly painful,"severe pain in left shoulder,","['Pain in shoulder' 'severe intense left arm and shoulder pain'
 'Extreme Right Shoulder Pain' 'left shoulder aches'
 'severe pain in left shoulder,']",Semantic confusion
irretractable lower back pain,irretractable lower back pain,lower back pain,"['lower back pain' 'lower back pain' 'LOWER BACK PAIN' 'lower back pain'
 'lower back pain']",Semantic confusion
in arms tingling,in arms Tingling,arms tingling in,"['tingling in my arms' 'tingling in my arms' 'tingling in my arms'
 'tingling in arms' 'arms tingling in']",Semantic confusion
sense of eye drooping,sense of eye drooping,diminished eyesight,"['eyes feeling of pressure' 'Eye sight appeared foggy'
 'sudden loss of vision' 'eyes spaced out feeling' 'diminished eyesight']",Semantic confusion
kidney problems,KIDNEY PROBLEMS,kidney problems,"['kidney pain' 'kidney pain' 'kidneys hurt' 'KIDNEY TROUBLES'
 'kidney problems']",Semantic confusion
gastric problems,gastric problems,gastric pain,"['major gastrointestinal problems' 'gastro problem' 'gastric upsets'
 'Gastrointestinal problems' 'gastric pain']",Semantic confusion
joint pain,JOINT PAIN,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Semantic confusion
anemia,anemia,septicaemia,['hematuria' 'anorexia' 'sickness' 'sickness' 'septicaemia'],Semantic confusion
pain in my calves,pain in my calves,severe pain in calves,"['calf pain' 'calf pain' 'Calf Pain' 'Severe muscle pain in calves'
 'severe pain in calves']",Semantic confusion
sexual dysfunction,sexual dysfunction,lack of sexual drive,"['Lack libido' 'sex drive' 'loss of sexual drive' 'lack of sexual desire'
 'lack of sexual drive']",Semantic confusion
cough heavily,cough heavily,cough,['cough' 'cough' 'cough' 'cough' 'cough'],Semantic confusion
numbness in toes,Numbness in toes,numbness in toes,"['numbness in ankles and toes' 'numb toes' 'Numbness in all of my toes'
 'Numbness in all toes' 'numbness in toes']",Semantic confusion
rashes,rashes,Rashes,['rash' 'rash' 'Rashes' 'Rashes' 'rashes'],Lexical variation
severe pain in buttocks,severe pain in buttocks,buttocks cramps,"['Severe hip & feet pain' 'Terrible pain in hips'
 'pain in the knees and feet' 'severe pain in my thighs' 'buttocks cramps']",Semantic confusion
jittery,jittery,Stuttering,['twitching' 'twitching' 'twitching' 'twitching' 'Stuttering'],Semantic confusion
headache,headache,Headache,['headache' 'headache' 'headache' 'headache' 'Headache'],Lexical variation
constant achingpain,Constant aching/pain,aching,"['Aching over my entire body' 'constant pain' 'constant pain'
 'constant pain' 'aching']",Semantic confusion
problems concentrating,Problems concentrating,trouble concentrating,"['dificulty in concentrating' 'not concentrating well' 'concentrating'
 'trouble concentrating' 'trouble concentrating']",Semantic confusion
frequent sudden urges to go pee that came out with a force that sprayed everywhere,frequent sudden urges to go pee that came out with a force that sprayed everywhere,urge to urinate constantly,"['Difficulty urinating' ""couldn't urinate"" 'urine leaking'
 'no control over urination' 'urge to urinate constantly']",Semantic confusion
cataract,cataract,worsening cataract,"['blurred vision' 'Blurred vision' 'Eye problem' 'vision impaired'
 'worsening cataract']",Semantic confusion
